Document_Name;Code;Segment
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;they were defending their ​home
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;they were defending their ​home, their great common Motherland
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The anti-Russia project has been rejected by millions of Ukrainians
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The people ​of Crimea and residents of Sevastopol made their historic choice
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;people ​in the southeast peacefully tried to defend their stance
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;all of them, including ​children, were labeled as separatists and terrorists
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;They were threatened with ​ethnic cleansing and the use of military force
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the residents of Donetsk ​and Lugansk took up arms to defend their home, their language and their lives
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;The UN High Commissioner for Human ​Rights estimates that the total number of victims in the conflict in Donbas has ​exceeded 13,000
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Russia has done everything to stop fratricide
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;During official negotiations, especially after being reined in by Western partners, ​Ukraine's representatives regularly declare their ”full adherence“ to the Minsk ​agreements, but are in fact guided by a position of ”unacceptability“
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Russophobia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;Kiev simply ​does not need Donbas
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;the inhabitants of these regions ​will never accept the order that they have tried and are trying to impose by force, ​blockade and threats
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the outcome of both Minsk-1 and Minsk-2 ​which give a real chance to peacefully restore the territorial integrity of Ukraine ​by coming to an agreement directly with the DPR and LPR with Russia, Germany ​and France as mediators, contradicts the entire logic of the anti-Russia project
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;it can only be sustained by the constant cultivation of the image ​of an internal and external enemy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;we are facing the creation ​of a climate of fear in Ukrainian society
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;By the way, who will pay these debts back? Apparently, it is assumed that this will ​have to be done not only by today's generation of Ukrainians but also by their ​children, grandchildren and probably great-grandchildren
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the anti-Russia project
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;there is no place either for a sovereign Ukraine ​or for the political forces that are trying to defend its real independence
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;pro-Russian
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;reconciliation in Ukrainian society
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;for many people in Ukraine, the anti-Russia project is simply ​unacceptable
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;they are not allowed ​to raise their heads
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;They are intimidated, driven underground
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Not only are they persecuted for their convictions, for the spoken word, ​for the open expression of their position, but they are also killed
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the ”right“ patriot of Ukraine is only the one who hates Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Hate and anger, as world history has repeatedly ​proved this, are a very shaky foundation for sovereignty, fraught with many ​serious risks and dire consequences
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;All the subterfuges associated with the anti-Russia project are clear to us.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;we will never allow our historical territories and people close to us living ​there to be used against Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;to those who will undertake such ​an attempt, I would like to say that this way they will destroy their own country
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;We see them as our own close people.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Russia is open to dialogue with Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;it is important for us to understand that our partner is defending its ​national interests
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;We respect the Ukrainian language and traditions
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;We respect Ukrainians' desire ​to see their country free, safe and prosperous
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Deligitimisation of Ukrainian Sovereignty;true sovereignty of Ukraine is possible only in partnership ​with Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Our spiritual, human and civilizational ties formed for centuries ​and have their origins in the same sources
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Our kinship has been transmitted ​from generation to generation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;It is in the hearts and the memory of people living ​in modern Russia and Ukraine, in the blood ties that unite millions of our ​families
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Together we have always been and will be many times stronger ​and more successful
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;For we are one people.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;these words may be perceived by some people with hostility
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Russia has never been and will never be ”anti-Ukraine“.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;what ​Ukraine will be – it is up to its citizens to decide
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;my message is also addressed to our compatriots ​in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;for us, ​for Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;The matter is very serious and needs to be discussed in depth
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;not only to explain what is happening but also to inform you ​of the decisions being made
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Ukraine is not just a neighbouring country ​for us
Putin, V. (2022, February). Address by the President of the Russian Federation;Unity and Kinship of Russians and Ukranians;It is an inalienable part of our own history, culture and spiritual space
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;inalienable
Putin, V. (2022, February). Address by the President of the Russian Federation;Unity and Kinship of Russians and Ukranians;These are our comrades, those dearest to us – not only colleagues, friends ​and people who once served together, but also relatives, people bound by blood, ​by family ties
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;"Since time immemorial, the people living in the south-west of what has ​historically been Russian land have called themselves Russians and Orthodox 
Christians"
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;to explain the motives behind Russia’s actions and what we aim to achieve
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;modern Ukraine was entirely created by Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;that modern Ukraine was entirely created by Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;Lenin and his associates did it ​in a way that was extremely harsh on Russia – by separating, severing what is ​historically Russian land
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Nobody asked the millions of people living there what ​they thought
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;Stalin incorporated ​in the USSR and transferred to Ukraine some lands that previously belonged ​to Poland, Romania and Hungary
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;Khrushchev took ​Crimea away from Russia for some reason and also gave it to Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;this is how the territory of modern Ukraine was formed
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;after the 1917 October Revolution and the subsequent Civil ​War, the Bolsheviks set about creating a new statehood
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;giving ​the republics – the future administrative and territorial entities – broad powers ​upon joining a unified state
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;a confederative state arrangement
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the right ​of nations to self-determination
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;why was ​it necessary to appease the nationalists, to satisfy the ceaselessly growing ​nationalist ambitions on the outskirts of the former empire?
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;What was the point ​of transferring to the newly, often arbitrarily formed administrative units – ​the union republics – vast territories that had nothing to do with them?
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;these territories were transferred along with the population of what ​was historically Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;these administrative units were de facto given the status and form ​of national state entities
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;why was it necessary ​to make such generous gifts, beyond the wildest dreams of the most zealous ​nationalists and, on top of all that, give the republics the right to secede from ​the unified state without any conditions?
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the Bolsheviks’ main ​goal was to stay in power at all costs, absolutely at all costs
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;accepted the humiliating Treaty of Brest-Litovsk
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;satisfied any demands and wishes of the nationalists within the country
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;country’s patriotic forces
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;We want those who seized and continue to hold power in Kiev to immediately ​stop hostilities
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;Otherwise, the responsibility for the possible continuation ​of the bloodshed will lie entirely on the conscience of Ukraine’s ruling regime
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;I consider it necessary to take a long overdue decision ​and to immediately recognise the independence and sovereignty of the Donetsk ​People's Republic and the Lugansk People's Republic
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Everything was in vain
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;those who then ​embarked on the path of violence, bloodshed and lawlessness did not recognise ​then and do not recognise now any solution to the Donbass issue other than ​a military one
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;How long can this tragedy continue?
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;How much longer can one put up with this?
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Russia has done everything to preserve Ukraine’s territorial integrity
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;it has persistently and patiently pushed for the implementation of UN ​Security Council Resolution
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;They are fighting for their ​elementary right to live on their own land, to speak their own language, ​and to preserve their culture and traditions
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Not a single day goes by without Donbass communities coming under shelling ​attacks
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;the ruling Kiev elites ​never stop publicly making clear their unwillingness to comply with the Minsk ​Package of Measures to settle the conflict and are not interested in a peaceful ​settlement
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;they are trying to orchestrate a blitzkrieg in Donbass ​as was the case in 2014 and 2015
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;Russia has every right to respond ​in order to ensure its security. That is exactly what we will do.
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;"When it comes to the historical destiny of Russia and its peoples, Lenin’s ​principles of state development were not just a mistake; they were worse than ​a mistake"
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;we cannot change past events, but we must at least admit them ​openly and honestly, without any reservations or politicking
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;no political factors, however impressive or profitable they may seem at any ​given moment, can or may be used as the fundamental principles of statehood
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;I am not trying to put the blame on anyone
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;It ​is a historical fact
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Soviet Ukraine is the result ​of the Bolsheviks’ policy and can be rightfully called “Vladimir Lenin’s Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;Donbass, ​which was actually shoved into Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;We are ready to show what real decommunizations would mean ​for Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;the Soviet Union was established ​in the place of the former Russian Empire
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;it was impossible to preserve or govern such a vast ​and complex territory on the amorphous principles that amounted ​to confederation
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;far removed from reality and the historical tradition
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the Red Terror and a rapid slide into Stalin’s dictatorship, ​the domination of the communist ideology and the Communist Party’s monopoly ​on power, nationalisation and the planned economy – all this transformed ​the formally declared but ineffective principles of government into a mere ​declaration
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;In reality, the union republics did not have any sovereign rights, none ​at all.
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;The practical result was the creation of a tightly centralised and absolutely ​unitary state
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the creation of a tightly centralised and absolutely ​unitary state
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;the fundamental and formally legal foundations ​of our state were not promptly cleansed of the odious and utopian fantasies ​inspired by the revolution, which are absolutely destructive for any normal state
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the mine was the right of secession from ​the Soviet Union
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the Communist ​Party leadership only engaged in open doubletalk about the revival ​of the Leninist principle of national self-determination
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;in the course of power struggle within the Communist Party itself, each ​of the opposing sides, in a bid to expand its support base, started ​to thoughtlessly incite and encourage nationalist sentiments
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;The republics of the USSR shall possess all the rights appropriate ​to their status as sovereign socialist states.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;The supreme representative bodies of power of the USSR ​republics can challenge and suspend the operation of the USSR Government’s ​resolutions and directives in their territory.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Each republic of the USSR shall have citizenship of its own, which ​shall apply to all of its residents.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;why was it necessary to rock the country even more in that already complicated ​situation?
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;radicals and nationalists, including and primarily ​those in Ukraine, are taking credit for having gained independence
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;The disintegration of our united country was ​brought about by the historic, strategic mistakes on the part of the Bolshevik ​leaders and the CPSU leadership
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Not only did Russia ​recognise these countries, but helped its CIS partners
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;This included our Ukrainian colleagues, who turned ​to us for financial support many times from the very moment they declared ​independence
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Our country provided this assistance while respecting Ukraine’s ​dignity and sovereignty
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;the subsidised loans Russia provided to Ukraine along with ​economic and trade preferences, the overall benefit for the Ukrainian budget ​in the period from 1991 to 2013 amounted to $250 billion
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Russia undertook to pay back all Soviet debts and delivered on this promise ​by completing this process in 2017
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;the newly independent states had to hand over to Russia ​part of the Soviet foreign assets
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;despite all these challenges, Russia always worked with Ukraine ​in an open and honest manner and, as I have already said, with respect for its ​interests
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;it was striking how the Ukrainian authorities always preferred ​dealing with Russia in a way that ensured that they enjoy all the rights ​and privileges while remaining free from any obligations
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Kiev tried to use dialogue with Russia as a bargaining chip in its ​relations with the West
Putin, V. (2022, February). Address by the President of the Russian Federation;Unity and Kinship of Russians and Ukranians;the mentality and historical memory of millions of people, ​of entire generations living in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Ukraine actually never had stable traditions of real ​statehood
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;it opted for mindlessly emulating foreign ​models, which have no relation to history or Ukrainian realities
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Political ​government institutions were readjusted many times to the rapidly growing clans ​and their self-serving interests, which had nothing to do with the interests ​of the Ukrainian people
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;billions of dollars that ​the oligarchs have stolen from the Ukrainians
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Others ​claimed to be in favour of good relations with Russia and cultural and language ​diversity, coming to power with the help of their citizens who sincerely supported ​their declared aspirations, including the millions of people in the south-eastern ​regions
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;the public organisations that supported bilingualism and cooperation ​with Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the real cultural, economic and social ​interests of the people and Ukraine’s true sovereignty with various ethnic ​speculations and formal ethnic attributes
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;A stable statehood has never developed in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;its electoral and other ​political procedures just serve as a cover, a screen for the redistribution of power ​and property between various oligarchic clans
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Corruption, which is certainly a challenge and a problem for many countries, ​including Russia, has gone beyond the usual scope in Ukraine. It has literally ​permeated and corroded Ukrainian statehood, the entire system, and all ​branches of power.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Radical nationalists took advantage of the justified public discontent ​and saddled the Maidan protest
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;a coup d'état in 2014
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;But the people who actually suffered, the families of those who died ​in the clashes provoked in the streets and squares of Kiev and other cities, how ​much did they get in the end? Better not ask.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;The nationalists who have seized power have unleashed a persecution, a real ​terror campaign against those who opposed their anti-constitutional actions
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;we know ​their names and we will do everything to punish them, find them and bring them ​to justice
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Maidan did not bring Ukraine any closer to democracy
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;a coup d'état
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the nationalists and those political forces that ​supported them eventually led Ukraine into an impasse
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;They spent ​and embezzled the legacy inherited not only from the Soviet era, but also from ​the Russian Empire
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;They lost tens, hundreds of thousands of jobs which ​enabled people to earn a reliable income and generate tax revenue, among other ​things thanks to close cooperation with Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Unity and Kinship of Russians and Ukranians;There was a time, however, when not ​only Ukraine, but the entire Soviet Union took pride in these companies
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;In 2021, the Black Sea Shipyard in Nikolayev went out of business. Its first docks ​date back to Catherine the Great.
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;the gas transportation system, it was built in its entirety by the Soviet ​Union
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;The Kiev authorities, at the West’s ​demand, delegated the priority right to select members of the supreme judicial ​bodies, the Council of Justice and the High Qualifications Commission of Judges, ​to international organisations
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Are the Ukrainian people aware that this is how their country is managed?
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;Do ​they realise that their country has turned not even into a political or economic ​protectorate but has been reduced to a colony with a puppet regime?
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;The state ​was privatised.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;the government, which designates itself ​as the “power of patriots” no longer acts in a national capacity and consistently ​pushes Ukraine towards losing its sovereignty.
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;A few words about Crimea. The people of the peninsula freely made their choice ​to be with Russia.
Putin, V. (2022, February). Address by the President of the Russian Federation;Deligitimisation of Ukrainian Sovereignty;A few words about Crimea. The people of the peninsula freely made their choice ​to be with Russia. The Kiev authorities cannot challenge the clearly stated choice ​of the people,
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;We cannot but ​react to this real danger
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;in the 18th century, ​the lands of the Black Sea littoral, incorporated in Russia as a result of wars with ​the Ottoman Empire, were given the name of Novorossiya (New Russia)
Putin, V. (2022, February). Address by the President of the Russian Federation;Historical Entitlement;attempts are being made to condemn these landmarks of history to oblivion, ​along with the names of state and military figures of the Russian Empire without ​whose efforts modern Ukraine would not have many big cities or even access ​to the Black Sea
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Article 17 of the Constitution of Ukraine stipulates that deploying ​foreign military bases on its territory is illegal.
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;International documents expressly stipulate the principle of equal and indivisible ​security, which includes obligations not to strengthen one's own security ​at the expense of the security of other states
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;This is stated in the 1999 OSCE ​Charter for European Security adopted in Istanbul and the 2010 OSCE Astana ​Declaration
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Many European allies ​of the United States were well aware of the risks associated with this prospect
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;NATO member states are still very sceptical about Ukraine joining ​NATO
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;thanks to our ​openness and goodwill, relations between Russia and the West had reached ​a high level
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Russia has fulfilled all of its obligations, including the pullout from Germany, from ​Central and Eastern Europe, making an immense contribution to overcoming ​the legacy of the Cold War
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;We have consistently proposed various cooperation ​options, including in the NATO-Russia Council and the OSCE formats
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;When then outgoing US President Bill Clinton visited Moscow ​in 2000, I asked him how America would feel about admitting Russia to NATO
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;All right, you do ​not want to see us as friends or allies, but why make us an enemy?
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;I would like people in Russia ​and Ukraine to understand this
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;they simply did not care at all about such things ​and did whatever they deemed necessary
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;we do not accept this behaviour and will never accept it
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;Russia has always advocated the resolution of the most complicated problems ​by political and diplomatic means, at the negotiating table
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;We are well aware of our enormous responsibility when it comes to regional ​and global stability
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;our proposal was rejected right off the bat ​on the pretext that Russia should not be allowed to put limits on NATO activities
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;, it was made explicitly clear to us that only NATO members can have ​legally binding security guarantees
Putin, V. (2022, February). Address by the President of the Russian Federation;Benevolent Protector and Moral Authority;we handed over to our Western partners a draft treaty between ​the Russian Federation and the United States of America on security guarantees, ​as well as a draft agreement on measures to ensure the security of the Russian ​Federation and NATO member states
Putin, V. (2022, February). Address by the President of the Russian Federation;Escalation to Intervention;because we exist and will never ​compromise our sovereignty, national interests or values
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;The formula they apply has been known from time immemorial – divide ​and rule
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;The process ​of Polonization and Latinization began, ousting Orthodoxy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;part of the western Russian ​Orthodox clergy submitted to the authority of the Pope
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;the desire of the leaders of the Polish national movement to exploit the ” ​Ukrainian issue“
